[1]SeCode|[2]TradingDate|[3]TradingTime|[4]TradingDateTime|[5]LastPrice|[6]OpenPrice|[7]HighPrice|[8]LowPrice|[9]Volume|[10]TurnoverAmount|[11]VolumeAcc|[12]TurnoverAmountAcc|[13]TradeCountAcc|[14]IOPV|[15]AskPrice10|[16]AskPrice9|[17]AskPrice8|[18]AskPrice7|[19]AskPrice6|[20]AskPrice5|[21]AskPrice4|[22]AskPrice3|[23]AskPrice2|[24]AskPrice1|[25]BidPrice1|[26]BidPrice2|[27]BidPrice3|[28]BidPrice4|[29]BidPrice5|[30]BidPrice6|[31]BidPrice7|[32]BidPrice8|[33]BidPrice9|[34]BidPrice10|[35]AskVolume10|[36]AskVolume9|[37]AskVolume8|[38]AskVolume7|[39]AskVolume6|[40]AskVolume5|[41]AskVolume4|[42]AskVolume3|[43]AskVolume2|[44]AskVolume1|[45]BidVolume1|[46]BidVolume2|[47]BidVolume3|[48]BidVolume4|[49]BidVolume5|[50]BidVolume6|[51]BidVolume7|[52]BidVolume8|[53]BidVolume9|[54]BidVolume10|[55]Exg|[56]UpDownLimitFalg|[57]IsContinAuct|[58]LocalTime|[59]GTALocalTime
300345.SZ|20200707|085603000|2020-07-07 08:56:03|7.83|0.00|0.00|0.00|0|0.00|0.00|0.00|0|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|SZSE|0|0|085603773|85603161
300345.SZ|20200707|091503000|2020-07-07 09:15:03|7.98|0.00|0.00|0.00|0|0.00|0.00|0.00|0|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|7.98|7.98|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0|0|0|0|0|0|0|0|0|1100|1100|500|0|0|0|0|0|0|0|0|SZSE|0|0|091503868|91503104
300345.SZ|20200707|091512000|2020-07-07 09:15:12|7.90|0.00|0.00|0.00|0|0.00|0.00|0.00|0|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|7.90|7.90|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0|0|0|0|0|0|0|0|7200|2900|2900|0|0|0|0|0|0|0|0|0|SZSE|0|0|091512735|91512097
300345.SZ|20200707|091754000|2020-07-07 09:17:54|7.90|0.00|0.00|0.00|0|0.00|0.00|0.00|0|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|7.90|7.90|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0|0|0|0|0|0|0|0|2200|7900|7900|0|0|0|0|0|0|0|0|0|SZSE|0|0|091754699|91754093
300345.SZ|20200707|091848000|2020-07-07 09:18:48|7.90|0.00|0.00|0.00|0|0.00|0.00|0.00|0|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|7.90|7.90|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0|0|0|0|0|0|0|0|0|10100|10100|800|0|0|0|0|0|0|0|0|SZSE|0|0|091848736|91848095
300345.SZ|20200707|091933000|2020-07-07 09:19:33|7.89|0.00|0.00|0.00|0|0.00|0.00|0.00|0|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|7.89|7.89|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0|0|0|0|0|0|0|0|1100|10900|10900|0|0|0|0|0|0|0|0|0|SZSE|0|0|091933659|91933093
300345.SZ|20200707|092030000|2020-07-07 09:20:30|7.89|0.00|0.00|0.00|0|0.00|0.00|0.00|0|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|7.89|7.89|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0|0|0|0|0|0|0|0|0|14100|14100|500|0|0|0|0|0|0|0|0|SZSE|0|0|092030702|92030094
300345.SZ|20200707|092039000|2020-07-07 09:20:39|7.89|0.00|0.00|0.00|0|0.00|0.00|0.00|0|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|7.89|7.89|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0|0|0|0|0|0|0|0|0|14400|14400|200|0|0|0|0|0|0|0|0|SZSE|0|0|092039696|92039092
300345.SZ|20200707|092142000|2020-07-07 09:21:42|7.89|0.00|0.00|0.00|0|0.00|0.00|0.00|0|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|7.89|7.89|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0|0|0|0|0|0|0|0|0|16200|16200|1500|0|0|0|0|0|0|0|0|SZSE|0|0|092142710|92142093
300345.SZ|20200707|092151000|2020-07-07 09:21:51|7.89|0.00|0.00|0.00|0|0.00|0.00|0.00|0|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|7.89|7.89|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0|0|0|0|0|0|0|0|0|17200|17200|500|0|0|0|0|0|0|0|0|SZSE|0|0|092151740|92151091
300345.SZ|20200707|092236000|2020-07-07 09:22:36|7.89|0.00|0.00|0.00|0|0.00|0.00|0.00|0|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|7.89|7.89|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0|0|0|0|0|0|0|0|0|19200|19200|4800|0|0|0|0|0|0|0|0|SZSE|0|0|092236713|92236096
300345.SZ|20200707|092245000|2020-07-07 09:22:45|7.90|0.00|0.00|0.00|0|0.00|0.00|0.00|0|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|7.90|7.90|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0|0|0|0|0|0|0|0|7700|21600|21600|0|0|0|0|0|0|0|0|0|SZSE|0|0|092245736|92245095
300345.SZ|20200707|092254000|2020-07-07 09:22:54|7.89|0.00|0.00|0.00|0|0.00|0.00|0.00|0|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|7.89|7.89|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0|0|0|0|0|0|0|0|0|21900|21900|12100|0|0|0|0|0|0|0|0|SZSE|0|0|092254739|92254098
300345.SZ|20200707|092415000|2020-07-07 09:24:15|7.90|0.00|0.00|0.00|0|0.00|0.00|0.00|0|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|7.90|7.90|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0|0|0|0|0|0|0|0|5400|26600|26600|0|0|0|0|0|0|0|0|0|SZSE|0|0|092415696|92415096
300345.SZ|20200707|092433000|2020-07-07 09:24:33|7.89|0.00|0.00|0.00|0|0.00|0.00|0.00|0|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|7.89|7.89|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0|0|0|0|0|0|0|0|0|31900|31900|7100|0|0|0|0|0|0|0|0|SZSE|0|0|092433731|92433098
300345.SZ|20200707|092451000|2020-07-07 09:24:51|7.89|0.00|0.00|0.00|0|0.00|0.00|0.00|0|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|7.89|7.89|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0|0|0|0|0|0|0|0|0|33000|33000|6000|0|0|0|0|0|0|0|0|SZSE|0|0|092451702|92451096
300345.SZ|20200707|092503000|2020-07-07 09:25:03|7.90|7.90|7.90|7.90|38100|300990.00|38100.00|300990.00|21|0.00|8.05|8.02|8.01|8.00|7.99|7.98|7.96|7.94|7.92|7.90|7.89|7.86|7.83|7.80|7.75|7.73|7.72|7.70|7.65|7.60|5000|1500|400|2700|1200|2500|3500|3000|400|5000|13900|300|3200|3000|1000|500|1000|74300|10000|25100|SZSE|0|0|092504514|92503510
300345.SZ|20200707|093003000|2020-07-07 09:30:03|7.89|7.90|7.91|7.89|12400|97935.00|50500.00|398925.00|29|0.00|8.02|8.01|8.00|7.99|7.98|7.96|7.95|7.94|7.92|7.90|7.89|7.86|7.83|7.80|7.75|7.73|7.72|7.70|7.65|7.63|1500|400|32400|1700|9000|3500|62000|3000|900|29200|7800|1300|3200|7000|1400|500|1000|74300|10000|10000|SZSE|0|0|093005253|93003914
300345.SZ|20200707|093006000|2020-07-07 09:30:06|7.89|7.90|7.91|7.89|14300|112870.00|64800.00|511795.00|37|0.00|8.01|8.00|7.99|7.98|7.96|7.95|7.94|7.92|7.90|7.89|7.88|7.86|7.84|7.83|7.80|7.77|7.75|7.73|7.72|7.70|400|32400|1700|9000|4000|62000|3000|900|26900|1500|3000|1300|1000|8200|8500|5000|15400|500|35300|74300|SZSE|0|0|093007821|93006873
300345.SZ|20200707|093009000|2020-07-07 09:30:09|7.90|7.90|7.91|7.89|25700|203005.00|90500.00|714800.00|44|0.00|8.01|8.00|7.99|7.98|7.96|7.95|7.94|7.93|7.92|7.90|7.88|7.86|7.85|7.84|7.83|7.80|7.77|7.76|7.75|7.73|400|32400|1700|9000|4000|62000|3000|11400|500|3700|4000|1300|1000|1000|8200|8500|5000|13800|16800|500|SZSE|0|0|093010857|93009862
300345.SZ|20200707|093012000|2020-07-07 09:30:12|7.89|7.90|7.91|7.88|15800|124709.00|106300.00|839509.00|63|0.00|8.01|8.00|7.99|7.98|7.96|7.95|7.94|7.93|7.92|7.89|7.86|7.85|7.84|7.83|7.82|7.80|7.77|7.76|7.75|7.73|400|33400|1700|9000|4000|62000|3000|11400|6900|6100|1300|1000|1000|8200|200|8500|5000|13800|16800|500|SZSE|0|0|093014218|93012859
300345.SZ|20200707|093015000|2020-07-07 09:30:15|7.89|7.90|7.91|7.88|2400|18934.00|108700.00|858443.00|70|0.00|8.00|7.99|7.98|7.96|7.95|7.94|7.93|7.92|7.90|7.89|7.86|7.85|7.84|7.83|7.82|7.80|7.77|7.76|7.75|7.73|33400|1700|9000|5700|62000|5600|16400|6900|1400|7900|8700|1000|1000|8200|200|8500|5000|13800|46800|500|SZSE|0|0|093016704|93015850
