[1]SeCode|[2]TradingDate|[3]TradingTime|[4]TradingDateTime|[5]LastPrice|[6]OpenPrice|[7]HighPrice|[8]LowPrice|[9]Volume|[10]TurnoverAmount|[11]VolumeAcc|[12]TurnoverAmountAcc|[13]TradeCountAcc|[14]IOPV|[15]AskPrice10|[16]AskPrice9|[17]AskPrice8|[18]AskPrice7|[19]AskPrice6|[20]AskPrice5|[21]AskPrice4|[22]AskPrice3|[23]AskPrice2|[24]AskPrice1|[25]BidPrice1|[26]BidPrice2|[27]BidPrice3|[28]BidPrice4|[29]BidPrice5|[30]BidPrice6|[31]BidPrice7|[32]BidPrice8|[33]BidPrice9|[34]BidPrice10|[35]AskVolume10|[36]AskVolume9|[37]AskVolume8|[38]AskVolume7|[39]AskVolume6|[40]AskVolume5|[41]AskVolume4|[42]AskVolume3|[43]AskVolume2|[44]AskVolume1|[45]BidVolume1|[46]BidVolume2|[47]BidVolume3|[48]BidVolume4|[49]BidVolume5|[50]BidVolume6|[51]BidVolume7|[52]BidVolume8|[53]BidVolume9|[54]BidVolume10|[55]Exg|[56]UpDownLimitFalg|[57]IsContinAuct|[58]LocalTime|[59]GTALocalTime|[60]PacketTimeStamp
600138.SH|20200707|085514000|2020-07-07 08:55:14|11.02|0.00|0.00|0.00|0|0.00|0|0.00|0|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|SSE|0|0|085516099|85515067|20200707085515000
600138.SH|20200707|091502000|2020-07-07 09:15:02|11.01|0.00|0.00|0.00|0|0.00|0|0.00|0|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|11.01|11.01|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0|0|0|0|0|0|0|0|3900|5000|5000|0|0|0|0|0|0|0|0|0|SSE|0|0|091502806|91501905|20200707091501000
600138.SH|20200707|091504000|2020-07-07 09:15:04|11.02|0.00|0.00|0.00|0|0.00|0|0.00|0|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|11.02|11.02|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0|0|0|0|0|0|0|0|0|20300|20300|2400|0|0|0|0|0|0|0|0|SSE|0|0|091505161|91504259|20200707091504000
600138.SH|20200707|091507000|2020-07-07 09:15:07|11.02|0.00|0.00|0.00|0|0.00|0|0.00|0|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|11.02|11.02|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0|0|0|0|0|0|0|0|0|25300|25300|51000|0|0|0|0|0|0|0|0|SSE|0|0|091508140|91507238|20200707091507000
600138.SH|20200707|091510000|2020-07-07 09:15:10|11.02|0.00|0.00|0.00|0|0.00|0|0.00|0|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|11.02|11.02|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0|0|0|0|0|0|0|0|0|30200|30200|65700|0|0|0|0|0|0|0|0|SSE|0|0|091511110|91510503|20200707091510000
600138.SH|20200707|091513000|2020-07-07 09:15:13|11.02|0.00|0.00|0.00|0|0.00|0|0.00|0|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|11.02|11.02|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0|0|0|0|0|0|0|0|0|30700|30700|79100|0|0|0|0|0|0|0|0|SSE|0|0|091514105|91513203|20200707091513000
600138.SH|20200707|091516000|2020-07-07 09:15:16|11.02|0.00|0.00|0.00|0|0.00|0|0.00|0|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|11.02|11.02|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0|0|0|0|0|0|0|0|0|30900|30900|90000|0|0|0|0|0|0|0|0|SSE|0|0|091517098|91516491|20200707091516000
600138.SH|20200707|091531000|2020-07-07 09:15:31|11.02|0.00|0.00|0.00|0|0.00|0|0.00|0|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|11.02|11.02|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0|0|0|0|0|0|0|0|0|31900|31900|102500|0|0|0|0|0|0|0|0|SSE|0|0|091532077|91531468|20200707091531000
600138.SH|20200707|091552000|2020-07-07 09:15:52|11.20|0.00|0.00|0.00|0|0.00|0|0.00|0|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|11.20|11.20|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0|0|0|0|0|0|0|0|225700|99800|99800|0|0|0|0|0|0|0|0|0|SSE|0|0|091553081|91552177|20200707091552000
600138.SH|20200707|091610000|2020-07-07 09:16:10|11.20|0.00|0.00|0.00|0|0.00|0|0.00|0|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|11.20|11.20|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0|0|0|0|0|0|0|0|220300|105200|105200|0|0|0|0|0|0|0|0|0|SSE|0|0|091611076|91610463|20200707091610000
