[1]SeCode|[2]TradingDate|[3]TradingTime|[4]TradingDateTime|[5]Price|[6]Volume|[7]BuySellDirection|[8]Exg|[9]LocalTime|[10]SetID|[11]RecID|[12]BuyOrderID|[13]SellOrderID|[14]SymbolSource|[15]TradeType|[16]GTALocalTime
300345.SZ|20200707|092500000|2020-07-07 09:25:00|7.90|300.00|S|SZSE|092518544|2012|491775|40042|278157|102 |F|92501775
300345.SZ|20200707|092500000|2020-07-07 09:25:00|7.90|700.00|B|SZSE|092518544|2012|491776|291935|278157|102 |F|92501775
300345.SZ|20200707|092500000|2020-07-07 09:25:00|7.90|800.00|S|SZSE|092518544|2012|491777|39148|278157|102 |F|92501775
300345.SZ|20200707|092500000|2020-07-07 09:25:00|7.90|500.00|S|SZSE|092518544|2012|491778|39148|305064|102 |F|92501775
300345.SZ|20200707|092500000|2020-07-07 09:25:00|7.90|400.00|B|SZSE|092518544|2012|491779|413240|305064|102 |F|92501775
300345.SZ|20200707|092500000|2020-07-07 09:25:00|7.90|2700.00|B|SZSE|092518544|2012|491780|413240|330465|102 |F|92501775
300345.SZ|20200707|092500000|2020-07-07 09:25:00|7.90|300.00|B|SZSE|092518544|2012|491781|413240|278745|102 |F|92501775
300345.SZ|20200707|092500000|2020-07-07 09:25:00|7.90|1800.00|B|SZSE|092518544|2012|491782|413240|300292|102 |F|92501775
300345.SZ|20200707|092500000|2020-07-07 09:25:00|7.90|800.00|B|SZSE|092518544|2012|491783|413240|399731|102 |F|92501775
300345.SZ|20200707|092500000|2020-07-07 09:25:00|7.90|300.00|B|SZSE|092518544|2012|491784|414133|399731|102 |F|92501775
300345.SZ|20200707|092500000|2020-07-07 09:25:00|7.90|2000.00|B|SZSE|092518544|2012|491785|414133|321443|102 |F|92501775
300345.SZ|20200707|092500000|2020-07-07 09:25:00|7.90|3200.00|B|SZSE|092518544|2012|491786|414133|258497|102 |F|92501775
300345.SZ|20200707|092500000|2020-07-07 09:25:00|7.90|1300.00|S|SZSE|092518544|2012|491787|181077|258497|102 |F|92501775
300345.SZ|20200707|092500000|2020-07-07 09:25:00|7.90|5000.00|S|SZSE|092518544|2012|491788|226121|258497|102 |F|92501775
300345.SZ|20200707|092500000|2020-07-07 09:25:00|7.90|2500.00|S|SZSE|092518544|2012|491789|244270|258497|102 |F|92501775
