[1]SeCode|[2]TradingDate|[3]TradingTime|[4]TradingDateTime|[5]Price|[6]Volume|[7]BuySellDirection|[8]Exg|[9]LocalTime|[10]RecId|[11]TradeChannel|[12]TradeAmount|[13]BuyRecID|[14]SellRecID|[15]GTALocalTime|[16]PacketTimeStamp
600138.SH|20200707|092500570|2020-07-07 09:25:00|11.15|100|N|SSE|092527296|19439|3|1115.00|143017|65395|92526426|20200707092526000
600138.SH|20200707|092500570|2020-07-07 09:25:00|11.15|700|N|SSE|092527296|19440|3|7805.00|143017|269908|92526426|20200707092526000
600138.SH|20200707|092500570|2020-07-07 09:25:00|11.15|3000|N|SSE|092527296|19441|3|33450.00|143017|157049|92526426|20200707092526000
600138.SH|20200707|092500570|2020-07-07 09:25:00|11.15|1200|N|SSE|092527296|19442|3|13380.00|143017|197309|92526426|20200707092526000
600138.SH|20200707|092500570|2020-07-07 09:25:00|11.15|200|N|SSE|092527296|19443|3|2230.00|161945|197309|92526426|20200707092526000
600138.SH|20200707|092500570|2020-07-07 09:25:00|11.15|4700|N|SSE|092527296|19444|3|52405.00|117343|197309|92526426|20200707092526000
600138.SH|20200707|092500570|2020-07-07 09:25:00|11.15|600|N|SSE|092527296|19445|3|6690.00|1511|197309|92526426|20200707092526000
600138.SH|20200707|092500570|2020-07-07 09:25:00|11.15|700|N|SSE|092527296|19446|3|7805.00|100007|197309|92526426|20200707092526000
600138.SH|20200707|092500570|2020-07-07 09:25:00|11.15|300|N|SSE|092527296|19447|3|3345.00|132597|197309|92526426|20200707092526000
600138.SH|20200707|092500570|2020-07-07 09:25:00|11.15|1200|N|SSE|092527296|19448|3|13380.00|196090|197309|92526426|20200707092526000
600138.SH|20200707|092500570|2020-07-07 09:25:00|11.15|900|N|SSE|092527296|19449|3|10035.00|264501|197309|92526426|20200707092526000
600138.SH|20200707|092500570|2020-07-07 09:25:00|11.15|200|N|SSE|092527296|19450|3|2230.00|264501|14062|92526426|20200707092526000
600138.SH|20200707|092500570|2020-07-07 09:25:00|11.15|300|N|SSE|092527296|19451|3|3345.00|264501|109367|92526426|20200707092526000
600138.SH|20200707|092500570|2020-07-07 09:25:00|11.15|500|N|SSE|092527296|19452|3|5575.00|264501|197516|92526426|20200707092526000
600138.SH|20200707|092500570|2020-07-07 09:25:00|11.15|800|N|SSE|092527296|19453|3|8920.00|264501|210237|92526426|20200707092526000
600138.SH|20200707|092500570|2020-07-07 09:25:00|11.15|500|N|SSE|092527296|19454|3|5575.00|264501|213577|92526426|20200707092526000
600138.SH|20200707|092500570|2020-07-07 09:25:00|11.15|1500|N|SSE|092527296|19455|3|16725.00|264501|82512|92526426|20200707092526000
600138.SH|20200707|092500570|2020-07-07 09:25:00|11.15|200|N|SSE|092527296|19456|3|2230.00|264501|88525|92526426|20200707092526000
600138.SH|20200707|092500570|2020-07-07 09:25:00|11.15|1000|N|SSE|092527296|19457|3|11150.00|264501|166313|92526426|20200707092526000
600138.SH|20200707|092500570|2020-07-07 09:25:00|11.15|1000|N|SSE|092527296|19458|3|11150.00|264501|183362|92526426|20200707092526000
600138.SH|20200707|092500570|2020-07-07 09:25:00|11.15|9700|N|SSE|092527296|19459|3|108155.00|264501|71646|92526426|20200707092526000
600138.SH|20200707|092500570|2020-07-07 09:25:00|11.15|100|N|SSE|092527296|19460|3|1115.00|264501|117648|92526426|20200707092526000
600138.SH|20200707|092500570|2020-07-07 09:25:00|11.15|500|N|SSE|092527296|19461|3|5575.00|264501|152011|92526426|20200707092526000
600138.SH|20200707|092500570|2020-07-07 09:25:00|11.15|5000|N|SSE|092527296|19462|3|55750.00|264501|173561|92526426|20200707092526000
600138.SH|20200707|092500570|2020-07-07 09:25:00|11.15|100|N|SSE|092527296|19463|3|1115.00|220890|173561|92526426|20200707092526000
600138.SH|20200707|092500570|2020-07-07 09:25:00|11.15|4900|N|SSE|092527296|19464|3|54635.00|133035|173561|92526426|20200707092526000
600138.SH|20200707|092500570|2020-07-07 09:25:00|11.15|500|N|SSE|092527296|19465|3|5575.00|133035|182587|92526426|20200707092526000
600138.SH|20200707|092500570|2020-07-07 09:25:00|11.15|3000|N|SSE|092527296|19466|3|33450.00|243491|182587|92526426|20200707092526000
600138.SH|20200707|092500570|2020-07-07 09:25:00|11.15|1400|N|SSE|092527296|19467|3|15610.00|210761|182587|92526426|20200707092526000
600138.SH|20200707|092500570|2020-07-07 09:25:00|11.15|700|N|SSE|092527296|19468|3|7805.00|108492|182587|92526426|20200707092526000
600138.SH|20200707|092500570|2020-07-07 09:25:00|11.15|800|N|SSE|092527296|19469|3|8920.00|57807|182587|92526426|20200707092526000
600138.SH|20200707|092500570|2020-07-07 09:25:00|11.15|100|N|SSE|092527296|19470|3|1115.00|144945|182587|92526426|20200707092526000
600138.SH|20200707|092500570|2020-07-07 09:25:00|11.15|500|N|SSE|092527296|19471|3|5575.00|156907|182587|92526426|20200707092526000
600138.SH|20200707|092500570|2020-07-07 09:25:00|11.15|4500|N|SSE|092527296|19472|3|50175.00|244189|182587|92526426|20200707092526000
600138.SH|20200707|092500570|2020-07-07 09:25:00|11.15|100|N|SSE|092527296|19473|3|1115.00|253513|182587|92526426|20200707092526000
600138.SH|20200707|092500570|2020-07-07 09:25:00|11.15|2000|N|SSE|092527296|19474|3|22300.00|248000|182587|92526426|20200707092526000
600138.SH|20200707|092500570|2020-07-07 09:25:00|11.15|6400|N|SSE|092527296|19475|3|71360.00|267101|182587|92526426|20200707092526000
600138.SH|20200707|092500570|2020-07-07 09:25:00|11.15|500|N|SSE|092527297|19476|3|5575.00|267101|189934|92526426|20200707092526000
600138.SH|20200707|092500570|2020-07-07 09:25:00|11.15|2600|N|SSE|092527297|19477|3|28990.00|267101|211477|92526426|20200707092526000
600138.SH|20200707|092500570|2020-07-07 09:25:00|11.15|400|N|SSE|092527297|19478|3|4460.00|270711|211477|92526426|20200707092526000
600138.SH|20200707|092500570|2020-07-07 09:25:00|11.15|900|N|SSE|092527297|19479|3|10035.00|270711|222340|92526426|20200707092526000
600138.SH|20200707|092500570|2020-07-07 09:25:00|11.15|4000|N|SSE|092527297|19480|3|44600.00|164323|230533|92526426|20200707092526000
600138.SH|20200707|092500570|2020-07-07 09:25:00|11.15|2000|N|SSE|092527297|19481|3|22300.00|164323|235394|92526426|20200707092526000
600138.SH|20200707|092500570|2020-07-07 09:25:00|11.15|4000|N|SSE|092527297|19482|3|44600.00|164323|255756|92526426|20200707092526000
600138.SH|20200707|092500570|2020-07-07 09:25:00|11.15|1000|N|SSE|092527297|19483|3|11150.00|223483|255756|92526426|20200707092526000
600138.SH|20200707|092500570|2020-07-07 09:25:00|11.15|2000|N|SSE|092527297|19484|3|22300.00|223483|2599|92526426|20200707092526000
600138.SH|20200707|092500570|2020-07-07 09:25:00|11.15|2000|N|SSE|092527297|19485|3|22300.00|223483|10254|92526426|20200707092526000
600138.SH|20200707|092500570|2020-07-07 09:25:00|11.15|2800|N|SSE|092527297|19486|3|31220.00|226795|10254|92526426|20200707092526000
600138.SH|20200707|092500570|2020-07-07 09:25:00|11.15|200|N|SSE|092527297|19487|3|2230.00|226795|17421|92526426|20200707092526000
600138.SH|20200707|092500570|2020-07-07 09:25:00|11.15|1700|N|SSE|092527297|19488|3|18955.00|226795|17849|92526426|20200707092526000
600138.SH|20200707|092500570|2020-07-07 09:25:00|11.15|200|N|SSE|092527297|19489|3|2230.00|226795|88817|92526426|20200707092526000
600138.SH|20200707|092500570|2020-07-07 09:25:00|11.15|200|N|SSE|092527297|19490|3|2230.00|226795|107508|92526426|20200707092526000
600138.SH|20200707|092500570|2020-07-07 09:25:00|11.15|100|N|SSE|092527297|19491|3|1115.00|226795|188516|92526426|20200707092526000
600138.SH|20200707|092500570|2020-07-07 09:25:00|11.15|4800|N|SSE|092527297|19492|3|53520.00|226795|200419|92526426|20200707092526000
600138.SH|20200707|092500570|2020-07-07 09:25:00|11.15|1500|N|SSE|092527297|19493|3|16725.00|235460|200419|92526426|20200707092526000
600138.SH|20200707|092500570|2020-07-07 09:25:00|11.15|100|N|SSE|092527297|19494|3|1115.00|88721|200419|92526426|20200707092526000
600138.SH|20200707|092500570|2020-07-07 09:25:00|11.15|1000|N|SSE|092527297|19495|3|11150.00|101267|200419|92526426|20200707092526000
600138.SH|20200707|092500570|2020-07-07 09:25:00|11.15|400|N|SSE|092527297|19496|3|4460.00|102218|200419|92526426|20200707092526000
600138.SH|20200707|092500570|2020-07-07 09:25:00|11.15|200|N|SSE|092527297|19497|3|2230.00|144955|200419|92526426|20200707092526000
600138.SH|20200707|092500570|2020-07-07 09:25:00|11.15|200|N|SSE|092527297|19498|3|2230.00|145105|200419|92526426|20200707092526000
600138.SH|20200707|092500570|2020-07-07 09:25:00|11.15|1000|N|SSE|092527297|19499|3|11150.00|212171|200419|92526426|20200707092526000
600138.SH|20200707|092500570|2020-07-07 09:25:00|11.15|5000|N|SSE|092527297|19500|3|55750.00|225442|200419|92526426|20200707092526000
600138.SH|20200707|092500570|2020-07-07 09:25:00|11.15|800|N|SSE|092527297|19501|3|8920.00|227274|269133|92526426|20200707092526000
600138.SH|20200707|092500570|2020-07-07 09:25:00|11.15|1000|N|SSE|092527297|19502|3|11150.00|240989|269133|92526426|20200707092526000
600138.SH|20200707|092500570|2020-07-07 09:25:00|11.15|6000|N|SSE|092527297|19503|3|66900.00|242504|269133|92526426|20200707092526000
600138.SH|20200707|092500570|2020-07-07 09:25:00|11.15|100|N|SSE|092527297|19504|3|1115.00|248832|269133|92526426|20200707092526000
600138.SH|20200707|092500570|2020-07-07 09:25:00|11.15|800|N|SSE|092527297|19505|3|8920.00|248832|12502|92526426|20200707092526000
